Boya,boya,2075916
Borroloola,borroloola,2076017
Beaumont,beaumont,2076944
Seacliff,seacliff,2078451
Peppermint Grove,peppermint-grove,2078903
Wyreema,wyreema,2142734
Wyongah,wyongah,2142742
Wongarbon,wongarbon,2143151
White Rock,white-rock,2143804
Warialda,warialda,2144662
Wamberal,wamberal,2144838
Tyers,tyers,2145635
Theodore,theodore,8348420
The Basin,the-basin,2146967
Tarneit,tarneit,2147357
Taree,taree,2147381
South Grafton,south-grafton,2148997
Shorncliffe,shorncliffe,2149586
Seville,seville,2149799
Romsey,romsey,2151174
Riverview,riverview,8349224
Ripley,ripley,2151566
Plenty,plenty,2152855
Parkdale,parkdale,2153784
Orange,orange,2154219
Nicholson,nicholson,2155354
Newcastle,newcastle,2155472
Nagambie,nagambie,2155878
Mudgeeraba,mudgeeraba,2156403
Mount Samson,mount-samson,2156524
Mount Morgan,mount-morgan,2156564
Mordialloc,mordialloc,2156933
Meredith,meredith,2158087
Medowie,medowie,2158220
Mansfield,mansfield,9957346
Loganholme,loganholme,2159734
Leura,leura,2160297
Camden Haven,camden-haven,2160499
Kyneton,kyneton,2160885
Kew,kew,2161540
Inverell,inverell,2162662
Hallam,hallam,2164062
Gunnedah,gunnedah,2164206
Grantham,grantham,2164702
Grafton,grafton,2164771
Goonellabah,goonellabah,2164966
Glenferrie,glenferrie,2165329
Gerogery,gerogery,2165697
Forest Hill,forest-hill,2166340
Fernvale,fernvale,2166746
Eaglehawk,eaglehawk,2167973
Currie,currie,2169638
Cudgen,cudgen,2169821
Craigieburn,craigieburn,2170089
Cooroy,cooroy,2170437
Coburg,coburg,2171168
Cobbitty,cobbitty,2171197
Childers,childers,2171626
Caulfield,caulfield,2171948
Budgewoi,budgewoi,2173592
Broadwater,broadwater,8348820
Bombala,bombala,2174973
Bluff,bluff,2175204
Blair Athol,blair-athol,6943455
Belmont,belmont,2176263
Bellingen,bellingen,2176295
Aurukun,aurukun,2177484
Asquith,asquith,2177543
Alligator Creek,alligator-creek,8219726
Albury,albury,2178174
Abermain,abermain,2178351
Mayfield,mayfield,2205838
Gymea,gymea,2205969
Yowie Bay,yowie-bay,2205978
Little Bay,little-bay,2205996
Riverwood,riverwood,2206009
Goodwood,goodwood,8348963
Niddrie,niddrie,6290237
Nudgee,nudgee,6943554
Vincentia,vincentia,6943962
Mollymook Beach,mollymook-beach,7290062
Phillip Island,phillip-island,7302624
Watanobbi,watanobbi,7910980
Blackburn,blackburn,7932624
Blackburn North,blackburn-north,7932632
Coomba Park,coomba-park,8219744
Craiglie,craiglie,8219746
The Palms,the-palms,8219835
Withcott,withcott,8219849
Bateau Bay,bateau-bay,8310668
Tapitallee,tapitallee,8310760
Hocking,hocking,8347709
Ashmont,ashmont,8347718
Craigmore,craigmore,8347802
Ourimbah,ourimbah,8347901
Flaxton,flaxton,8347970
Kangaroo Ground,kangaroo-ground,8348018
Oakden,oakden,8348041
Colonel Light Gardens,colonel-light-gardens,8348042
King Creek,king-creek,8348043
Avenell Heights,avenell-heights,8348051
Fadden,fadden,8348126
Seaholme,seaholme,8348221
Hermit Park,hermit-park,8348237
Yennora,yennora,8348240
Parklands,parklands,8348261
Drumcondra,drumcondra,8348315
Butler,butler,8348326
Cannon Hill,cannon-hill,8348393
Booragoon,booragoon,8348406
Ironbark,ironbark,8348174
College Park,college-park,8348440
Castlereagh,castlereagh,8348475
Edgeworth,edgeworth,8348540
Erskineville,erskineville,8348548
Middle Park,middle-park,8348970
Hayborough,hayborough,8348806
Kealba,kealba,8348826
Bellmere,bellmere,8348847
Maiden Gully,maiden-gully,8348957
Wilsonton,wilsonton,8348961
Kirkham,kirkham,8348983
Forrestdale,forrestdale,8349057
Hannans,hannans,8349063
Samson,samson,8349096
St George Ranges,st-george-ranges,8349102
Braitling,braitling,8349109
Felixstow,felixstow,8349162
Melba,melba,8349186
Shalvey,shalvey,8349236
Mornington,mornington,2156878
Ooralea,ooralea,8349315
Woodrising,woodrising,8349346
Middle Ridge,middle-ridge,8349351
St James,st-james,8349362
Sadadeen,sadadeen,8349394
Mountain Creek,mountain-creek,8349412
Taperoo,taperoo,8349434
Christies Beach,christies-beach,9258643
Robertson,robertson,2151485
Nulkaba,nulkaba,9883893
Fairlight,fairlight,9972673
Greenhills Beach,greenhills-beach,9972697
Harris Park,harris-park,9972707
Kemps Creek,kemps-creek,9972766
North Epping,north-epping,9972849
Woodville South,woodville-south,9973101
Kings Park,kings-park,8347839
Wembley,wembley,2058682
Stoneville,stoneville,2060993
Roleystone,roleystone,2062259
North Beach,north-beach,2064546
Nedlands,nedlands,2064874
Laverton,laverton,2207598
Karnup,karnup,2068693
Cunderdin,cunderdin,2073354
Clare,clare,2074329
Boulder,boulder,2075988
Bickley,bickley,2076674
Arno Bay,arno-bay,2077566
Yamba,yamba,2142648
Wyong,wyong,2142743
Whitebridge,whitebridge,2143848
Waurn Ponds,waurn-ponds,2144326
Wauchope,wauchope,2144332
Warrenheip,warrenheip,2144551
Walla Walla,walla-walla,2144921
Villawood,villawood,2145187
Valley Heights,valley-heights,2145327
Tyalgum,tyalgum,2145641
Tongala,tongala,2146390
Tamaree,tamaree,2147526
Sandford,sandford,2150485
Poowong,poowong,2152712
Pallarenda,pallarenda,2153930
Nhill,nhill,2155370
Nebo,nebo,2155628
Nana Glen,nana-glen,2155848
Mitchell,mitchell,2157408
Mirboo North,mirboo-north,2157487
Marulan,marulan,2158574
Macleod,macleod,2159177
Loganlea,loganlea,2159732
Hughesdale,hughesdale,2162970
Heidelberg,heidelberg,2163654
Healesville,healesville,2163701
Guyra,guyra,2164149
Goulburn,goulburn,2164837
Glenhaven,glenhaven,2165303
Gilgandra,gilgandra,2165596
Geelong West,geelong-west,2165796
Frankston,frankston,2166144
Foster,foster,2166271
Fern Tree,fern-tree,2166750
Eudlo,eudlo,2167164
Eppalock,eppalock,2167281
Echuca,echuca,2167817
Croydon,croydon,2169868
Cooktown,cooktown,2170658
Collaroy,collaroy,2171019
Coffs Harbour,coffs-harbour,2171085
Clareville,clareville,2171455
Bringelly,bringelly,2174006
Bloomsbury,bloomsbury,2175286
Belgian Gardens,belgian-gardens,2176359
Bakers Creek,bakers-creek,2177222
Avoca,avoca,8349202
Aspley,aspley,2177546
Ashford,ashford,8348229
Ardlethan,ardlethan,2177715
Anakie,anakie,2177925
Altona,altona,2177992
Bundeena,bundeena,2205977
Ramsgate,ramsgate,2206001
Longueville,longueville,2207817
Wolli Creek,wolli-creek,6640206
Middlemount,middlemount,6696812
Kingsbury,kingsbury,6930848
Nundah,nundah,6943548
Macarthur,macarthur,2159266
St Kilda East,st-kilda-east,7303250
Golden Beach,golden-beach,7303640
St Albans,st-albans,8015209
Blue Mountain Heights,blue-mountain-heights,8219731
Bogangar,bogangar,8219732
Innes Park,innes-park,8219778
Loch Sport,loch-sport,8219797
Windermere Park,windermere-park,8219848
Belimbla Park,belimbla-park,8347755
Whitsundays,whitsundays,8347767
Geebung,geebung,8347841
Woodcroft,woodcroft,8349440
Daisy Hill,daisy-hill,8347882
Underwood,underwood,8347902
Pheasants Nest,pheasants-nest,8347904
Yarravel,yarravel,8347971
Westleigh,westleigh,8347974
Invermay Park,invermay-park,8348010
Noranda,noranda,8348087
Willetton,willetton,8348101
Oakhurst,oakhurst,2154630
Panorama,panorama,8348166
Kalkie,kalkie,8348182
O'Connor,o'connor,8348190
Mysterton,mysterton,8348195
Dampier Peninsula,dampier-peninsula,8348272
Ashfield,ashfield,2177565
Brighton,brighton,2174040
Middleton Beach,middleton-beach,8348403
Balcolyn,balcolyn,8348421
Cabramatta,cabramatta,8348460
Casula,casula,8348477
Kent Town,kent-town,8348490
Leonay,leonay,8348642
Mount Tarcoola,mount-tarcoola,8348648
Seaview Downs,seaview-downs,8348762
Robina,robina,8348930
West Stowe,west-stowe,8348956
Paralowie,paralowie,8349003
Strathdale,strathdale,8349016
Churchlands,churchlands,8349042
Falcon,falcon,8349056
Conder,conder,8349167
Wanniassa,wanniassa,8349191
Kangaroo Point,kangaroo-point,8349247
Monash,monash,2157247
Springvale,springvale,2148591
Rosebery,rosebery,2151127
Mirrabooka,mirrabooka,8219805
Milsons Point,milsons-point,8504538
Jesmond,jesmond,8556208
Mulambin,mulambin,8599683
Blacksmiths,blacksmiths,8614882
Yeronga,yeronga,9957353
Melbourne Airport,melbourne-airport,9972414
Carnes Hill,carnes-hill,9972631
Wollstonecraft,wollstonecraft,9972972
The Gardens,the-gardens,9972974
Norwood,norwood,8349292
Everard Park,everard-park,9973316
Swan View,swan-view,2060771
Roebourne,roebourne,2062276
Narrogin,narrogin,2064915
Mount Barker,mount-barker,2065665
Kingston South East,kingston-south-east,2068414
Grange,grange,8349343
